cluster_id,railway,section,line,chainage_start_m,chainage_end_m,span_m,n_defects,max_amp
91,North Western Railway,Jaipur-Phulera,UP,287633.0,287637.0,4.0,2,30.0
92,North Western Railway,Jaipur-Phulera,UP,294242.0,294244.0,2.0,2,40.0
93,North Western Railway,Jodhpur-Jaisalmer,SL,9262.6,9262.6,0.0,2,38.0
94,North Western Railway,Jodhpur-Jaisalmer,SL,13840.0,13840.0,0.0,2,55.0
95,North Western Railway,Jodhpur-Jaisalmer,SL,14198.0,14199.0,1.0,2,51.0
96,North Western Railway,Jodhpur-Jaisalmer,SL,16283.0,16283.0,0.0,2,80.0
97,North Western Railway,Jodhpur-Jaisalmer,SL,20709.7,20709.7,0.0,2,47.0
98,North Western Railway,Jodhpur-Jaisalmer,SL,23930.65,23930.65,0.0,2,51.0
99,North Western Railway,Jodhpur-Jaisalmer,SL,24266.26,24266.4,0.1400000000030559,2,40.0
100,North Western Railway,Jodhpur-Jaisalmer,SL,29559.3,29560.5,1.2000000000007276,2,25.0
101,North Western Railway,Jodhpur-Jaisalmer,SL,32902.0,32905.0,3.0,2,27.0
102,North Western Railway,Jodhpur-Jaisalmer,SL,33763.27,33763.54,0.27000000000407454,2,56.0
103,North Western Railway,Jodhpur-Jaisalmer,SL,33931.0,33931.4,0.4000000000014552,2,48.0
104,North Western Railway,Jodhpur-Jaisalmer,SL,39314.79,39315.15,0.3600000000005821,2,28.0
105,North Western Railway,Jodhpur-Jaisalmer,SL,41130.65,41132.96,2.3099999999976717,2,53.0
106,North Western Railway,Jodhpur-Jaisalmer,SL,41193.45,41194.15,0.7000000000043656,2,49.0
107,North Western Railway,Jodhpur-Jaisalmer,SL,42387.65,42387.7,0.049999999995634425,2,40.0
108,North Western Railway,Jodhpur-Jaisalmer,SL,43029.05,43029.95,0.8999999999941792,2,45.0
109,North Western Railway,Jodhpur-Jaisalmer,SL,44647.44,44648.07,0.6299999999973807,2,32.0
110,North Western Railway,Jodhpur-Jaisalmer,SL,54129.7,54129.92,0.22000000000116415,2,46.0
111,North Western Railway,Jodhpur-Jaisalmer,SL,57080.0,57083.92,3.9199999999982538,2,49.0
112,North Western Railway,Jodhpur-Jaisalmer,SL,63493.0,63493.0,0.0,2,40.0
113,North Western Railway,Jodhpur-Jaisalmer,SL,64493.0,64493.0,0.0,2,39.0
114,North Western Railway,Jodhpur-Jaisalmer,SL,88937.56,88938.1,0.5400000000081491,2,26.0
115,North Western Railway,Jodhpur-Jaisalmer,SL,89365.1,89366.1,1.0,2,35.0
116,North Western Railway,Jodhpur-Jaisalmer,SL,93610.36,93610.52,0.16000000000349246,2,51.0
117,North Western Railway,Jodhpur-Jaisalmer,SL,93848.0,93850.8,2.8000000000029104,2,33.0
118,North Western Railway,Jodhpur-Jaisalmer,SL,94572.18,94572.28,0.10000000000582077,2,52.0
119,North Western Railway,Jodhpur-Jaisalmer,SL,134670.0,134670.0,0.0,2,45.0
120,North Western Railway,Jodhpur-Jaisalmer,SL,233471.23,233474.1,2.8699999999953434,2,40.0
121,North Western Railway,Jodhpur-Jaisalmer,SL,235765.5,235767.1,1.6000000000058208,2,28.0
122,North Western Railway,Jodhpur-Jaisalmer,SL,242179.4,242179.4,0.0,2,50.0
123,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,68501.0,68501.0,0.0,2,30.0
124,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,71204.95,71205.07,0.1200000000098953,2,30.0
125,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,72826.29,72826.77,0.4800000000104774,2,30.0
126,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,77917.68,77917.68,0.0,2,25.0
127,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,90518.0,90518.0,0.0,2,25.0
128,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,100117.71,100119.88,2.1699999999982538,2,25.0
129,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,101445.0,101445.0,0.0,2,40.0
130,Northeast Frontier Railway,Aluabari Road-Barsoi,DN,131740.0,131743.0,3.0,2,25.0
131,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,82867.38,82867.58,0.19999999999708962,2,25.0
132,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,83249.55,83249.55,0.0,2,40.0
133,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,98230.9,98230.9,0.0,2,25.0
134,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,105815.9,105818.85,2.9500000000116415,2,25.0
135,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,114545.0,114545.0,0.0,2,25.0
136,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,125192.0,125192.0,0.0,2,30.0
137,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,126930.34,126930.4,0.059999999997671694,2,25.0
138,Northeast Frontier Railway,Aluabari Road-Barsoi,UP,129914.9,129915.1,0.20000000001164153,2,25.0
139,Northeast Frontier Railway,New Mal-Alipurdwar Jn,SL,160957.5,160960.0,2.5,2,45.0
140,Northern Railway,Lucknow-Unnao,UP,18103.0,18103.0,0.0,2,35.0
141,Northern Railway,Unnao-Kanpur Central,DN,64217.0,64217.0,0.0,2,30.0
142,South Western Railway,Bangalore City-Mysore,DN,22522.0,22522.0,0.0,2,40.0
143,South Western Railway,Bangalore City-Mysore,DN,28650.0,28650.0,0.0,2,40.0
144,South Western Railway,Bangalore City-Mysore,DN,118686.0,118686.0,0.0,2,30.0
145,South Western Railway,Bangalore City-Mysore,UP,92.0,92.0,0.0,2,100.0
146,South Western Railway,Bangalore City-Mysore,UP,386.6,387.15,0.5499999999999545,2,59.0
147,South Western Railway,Bangalore City-Mysore,UP,436.0,438.0,2.0,2,45.0
148,South Western Railway,Bangalore City-Mysore,UP,16212.0,16212.0,0.0,2,100.0
149,South Western Railway,Bangalore City-Mysore,UP,16604.0,16606.0,2.0,2,100.0
150,South Western Railway,Bangalore City-Mysore,UP,18242.0,18243.0,1.0,2,50.0
151,South Western Railway,Bangalore City-Mysore,UP,18380.0,18380.5,0.5,2,60.0
152,South Western Railway,Bangalore City-Mysore,UP,19491.0,19491.69,0.6899999999986903,2,100.0
153,South Western Railway,Bangalore City-Mysore,UP,19543.0,19544.0,1.0,2,60.0
154,South Western Railway,Bangalore City-Mysore,UP,19980.0,19984.0,4.0,2,80.0
155,South Western Railway,Bangalore City-Mysore,UP,20725.0,20725.0,0.0,2,90.0
156,South Western Railway,Bangalore City-Mysore,UP,20753.0,20754.0,1.0,2,80.0
157,South Western Railway,Bangalore City-Mysore,UP,21000.0,21000.0,0.0,2,60.0
158,South Western Railway,Bangalore City-Mysore,UP,21007.0,21009.0,2.0,2,50.0
159,South Western Railway,Bangalore City-Mysore,UP,21653.0,21655.0,2.0,2,80.0
160,South Western Railway,Bangalore City-Mysore,UP,22170.0,22172.0,2.0,2,100.0
161,South Western Railway,Bangalore City-Mysore,UP,26733.0,26733.0,0.0,2,40.0
162,South Western Railway,Bangalore City-Mysore,UP,29319.39,29323.0,3.610000000000582,2,100.0
163,South Western Railway,Bangalore City-Mysore,UP,29820.0,29823.0,3.0,2,62.0
164,South Western Railway,Bangalore City-Mysore,UP,90378.0,90378.0,0.0,2,31.0
165,South Western Railway,Bangalore City-Mysore,UP,98861.1,98861.35,0.25,2,38.0
166,Southern Railway,Shoranur Jn-Punkunnam,UP,51493.0,51495.82,2.819999999999709,2,30.0
167,Southern Railway,Shoranur Jn-Punkunnam,UP,51894.62,51894.79,0.16999999999825377,2,35.0
168,Southern Railway,Shoranur Jn-Punkunnam,UP,52042.13,52044.32,2.1900000000023283,2,50.0
169,Southern Railway,Shoranur Jn-Punkunnam,UP,93936.83,93940.0,3.1699999999982538,2,75.0
170,Southern Railway,Shoranur Jn-Punkunnam,UP,100470.0,100470.0,0.0,2,25.0
171,Western Railway,Samdari Jn- Bhildi,SL,253.0,257.0,4.0,2,35.0
172,Western Railway,Samdari Jn- Bhildi,SL,628.0,628.0,0.0,2,28.0
173,Western Railway,Samdari Jn- Bhildi,SL,102235.6,102235.6,0.0,2,44.0
174,Western Railway,Samdari Jn- Bhildi,SL,104381.43,104381.43,0.0,2,53.0
175,Western Railway,Samdari Jn- Bhildi,SL,104586.4,104586.4,0.0,2,42.0
176,Western Railway,Samdari Jn- Bhildi,SL,111628.0,111631.0,3.0,2,51.0
177,Western Railway,Samdari Jn- Bhildi,SL,114084.04,114084.1,0.06000000001222361,2,54.0
178,Western Railway,Samdari Jn- Bhildi,SL,122795.15,122795.52,0.3700000000098953,2,58.0
179,Western Railway,Samdari Jn- Bhildi,SL,123791.0,123793.0,2.0,2,36.0
180,Western Railway,Samdari Jn- Bhildi,SL,123805.0,123805.0,0.0,2,32.0
181,Western Railway,Samdari Jn- Bhildi,SL,127921.52,127921.53,0.00999999999476131,2,49.0
182,Western Railway,Samdari Jn- Bhildi,SL,130041.82,130041.85,0.029999999998835847,2,27.0
183,Western Railway,Samdari Jn- Bhildi,SL,139969.5,139969.5,0.0,2,37.0
184,Western Railway,Samdari Jn- Bhildi,SL,140015.0,140017.0,2.0,2,38.0
185,Western Railway,Samdari Jn- Bhildi,SL,140022.0,140022.0,0.0,2,37.0
186,Western Railway,Samdari Jn- Bhildi,SL,145672.0,145672.0,0.0,2,23.0
187,Western Railway,Samdari Jn- Bhildi,SL,163384.0,163386.0,2.0,2,26.0
188,Western Railway,Samdari Jn- Bhildi,SL,164387.0,164388.0,1.0,2,38.0
189,Western Railway,Samdari Jn- Bhildi,SL,188880.0,188880.0,0.0,2,45.0
190,Western Railway,Samdari Jn- Bhildi,SL,189679.0,189679.0,0.0,2,60.0
191,Western Railway,Samdari Jn- Bhildi,SL,189705.0,189705.0,0.0,2,53.0
192,Western Railway,Samdari Jn- Bhildi,SL,191022.3,191022.3,0.0,2,52.0
193,Western Railway,Samdari Jn- Bhildi,SL,191370.0,191371.0,1.0,2,35.0
194,Western Railway,Samdari Jn- Bhildi,SL,192315.0,192315.6,0.6000000000058208,2,55.0
195,Western Railway,Samdari Jn- Bhildi,SL,201646.0,201646.0,0.0,2,0.0
196,Western Railway,Samdari Jn- Bhildi,SL,205082.2,205082.2,0.0,2,44.0
197,Western Railway,Samdari Jn- Bhildi,SL,206830.0,206830.0,0.0,2,40.0
198,Western Railway,Samdari Jn- Bhildi,SL,207998.5,207998.5,0.0,2,40.0
199,Western Railway,Samdari Jn- Bhildi,SL,214113.5,214113.5,0.0,2,35.0
200,Western Railway,Samdari Jn- Bhildi,SL,214193.0,214193.0,0.0,2,35.0
201,Western Railway,Samdari Jn- Bhildi,SL,215349.0,215349.0,0.0,2,38.0
202,Western Railway,Samdari Jn- Bhildi,SL,217776.0,217776.0,0.0,2,36.0
203,Western Railway,Samdari Jn- Bhildi,SL,221508.0,221508.0,0.0,2,91.0
204,Western Railway,Samdari Jn- Bhildi,SL,221782.8,221782.8,0.0,2,59.0
